sampleID	pair		pairing_type	inter_vs_intra	dvh	D.line	D.generation	D.epd	D.colony	mmp	M.line	M.generation	M.epd	M.colony	rate	yield	source	used.model	picked.model	measure	avg.rate	sd.rate	avg.yield	sd.yield	notes	isgood	wasmodified	windowsize	rate_Kris	rate_Kris_sd	OD_Kris	OD_Kris_sd			
5/6/2019-sAP-22	UE3.152.09.D03 & Mmp Anc. (M1)	UE3.152.09.D03 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D03	UE3	152	9	D03	AN.01.M.NA	AN	1	M	An	0.010809292	0.322633951	Jess	richards	richards	OD600	0.010938926	0.000721665	0.338899434	0.014207681		0	1	125	0.082364286	0.00214814	0.327732	0.003363803	12	0.082364286	0.327732
5/6/2019-sAP-23	UE3.152.09.D03 & Mmp Anc. (M1)	UE3.152.09.D03 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D03	UE3	152	9	D03	AN.01.M.NA	AN	1	M	An	0.009704074	0.347039013	Jess	richards	richards	OD600	0.010938926	0.000721665	0.338899434	0.014207681		0	1	100	0.051035483	0.002019857	0.350024	0.003155516	12	0.051035483	0.350024
5/6/2019-sAP-24	UE3.152.09.D03 & Mmp Anc. (M1)	UE3.152.09.D03 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D03	UE3	152	9	D03	AN.01.M.NA	AN	1	M	An	0.0103493	0.315616326	Jess	logistic	logistic	OD600	0.009677761	0.001034714	0.352445647	0.029948176		0	1	130	0.07372346	0.003353675	0.311942	0.002201481	12	0.07372346	0.311942
4/26/2019-sOP-41	UE3.152.03.D01 & UE3.152.09.M01	UE3.152.03.D01 & UE3.152.09.M01Jess	Dev_Mev	D3_M9	UE3.152.03.D01	UE3	152	3	D01	UE3.152.09.M01	UE3	152	9	M01	0.029829882	0.461487844	Jess	richards	richards	OD600	0.03166409	0.001509941	0.463919107	0.009548815		0	1	40	0.111179411	0.002656007	0.492644	0.002353121	5	0.111179411	0.492644
4/26/2019-sOP-42	UE3.152.03.D01 & UE3.152.09.M01	UE3.152.03.D01 & UE3.152.09.M01Jess	Dev_Mev	D3_M9	UE3.152.03.D01	UE3	152	3	D01	UE3.152.09.M01	UE3	152	9	M01	0.032981819	0.458598019	Jess	richards	richards	OD600	0.03166409	0.001509941	0.463919107	0.009548815		0	1	100	0.123886185	0.001902718	0.479138	0.01451486	5	0.123886185	0.479138
4/26/2019-sOP-44	UE3.152.03.D01 & UE3.152.09.M01	UE3.152.03.D01 & UE3.152.09.M01Jess	Dev_Mev	D3_M9	UE3.152.03.D01	UE3	152	3	D01	UE3.152.09.M01	UE3	152	9	M01	0.033253485	0.479257931	Jess	richards	richards	OD600	0.03166409	0.001509941	0.463919107	0.009548815		0	1	50	0.085274448	0.000535291	0.51267	0.016998098	5	0.085274448	0.51267
4/26/2019-sOP-45	UE3.152.03.D01 & UE3.152.09.M01	UE3.152.03.D01 & UE3.152.09.M01Jess	Dev_Mev	D3_M9	UE3.152.03.D01	UE3	152	3	D01	UE3.152.09.M01	UE3	152	9	M01	0.032141822	0.452641633	Jess	richards	richards	OD600	0.03166409	0.001509941	0.463919107	0.009548815		0	1	45	0.091184124	0.005137802	0.502188	0.002751085	5	0.091184124	0.502188
4/26/2019-sOP-48	UE3.152.03.D01 & UE3.152.09.M01	UE3.152.03.D01 & UE3.152.09.M01Jess	Dev_Mev	D3_M9	UE3.152.03.D01	UE3	152	3	D01	UE3.152.09.M01	UE3	152	9	M01	0.03011344	0.467610105	Jess	richards	richards	OD600	0.03166409	0.001509941	0.463919107	0.009548815		0	1	40	0.09415002	0.002016248	0.51132	0.012623835	5	0.09415002	0.51132
9/23/2019-sPD-01	UE3.152.09.D01 & UE3.152.03.M01	UE3.152.09.D01 & UE3.152.03.M01Jess	Dev_Mev	D9_M3	UE3.152.09.D01	UE3	152	9	D01	UE3.152.03.M01	UE3	152	3	M01			Jess									0	0	37	0.065071994	0.001987083	0.392414647	0.001355517	16	0.065071994	0.392414647
9/23/2019-sPD-02	UE3.152.09.D01 & UE3.152.03.M01	UE3.152.09.D01 & UE3.152.03.M01Jess	Dev_Mev	D9_M3	UE3.152.09.D01	UE3	152	9	D01	UE3.152.03.M01	UE3	152	3	M01			Jess									0	0	18	0.074506651	0.001429635	0.470620844	0.001182988	16	0.074506651	0.470620844
